Incident_ID,Date,Department,Model,Sub_Assembly,Incident_Description
24-041,2024-02-22 00:00:00,Customer Service,AS,Bike Accessories,"Incorrect tie rod shipped on O24-21589, tech drove to school to make repair and found it the incorrect length, too short. Likely a standard AS2000 tie rod was shipped. Order manf notes listed SN and AS2000EXT. Repl order placed. "
24-059,2024-03-26 00:00:00,Customer Service,,,Grip short shipped on O24-21799
24-064,2024-04-01 00:00:00,Customer Service,,,Short shipped grip
24-071,2024-04-05 00:00:00,Customer Service,Multiple,Bike Accessories,"We sent a pair of crank arm shorteners to Motion Kitchener, their tech drove out to a school to install only to find out the hole is too small for the middle bolt to fit. I checked numbers otheres and found the same issue. Sending no charge replacement with enlarged hole. "
22-000,2022-12-01 00:00:00,Production,ASR,,"Example Incident: On November 28, 2022, a bike order was shipped without a crate. Damaged bike delivered to customer. Replacement bike order O22-10001. "
22-001,2022-12-08 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"I have had two reports this month regarding the COC rocker base. When installing, the threaded rod inserted into the black bar has pulled out. One was from O22-16822, the other from O22-16854. (photos will be in email attachment )"
22-002,2022-12-08 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"I have had two reports this month regarding the COC rocker base. When installing, the threaded rod inserted into the black bar has pulled out. One was from O22-16822, the other from O22-16854. (photos will be in email attachment )"
22-003,2022-12-08 00:00:00,Customer Service,DCP,Bike Accessories,"O22-17336-W0Y0 was received by Align Home Health, reported that order was shorted one strap.                   O22-17448-B3G1 was submitted for a replacement strap"
22-004,2022-12-08 00:00:00,Customer Service,DCP,Bike Seating,"O22-16769-Y9R8  bike was received with damage on the 22"" highback, not elegible for freight claim.                                    O22-17288 was submitted for a replacement 22"" highback, a standard 18"" highback was picked and shipped.   O22-17390 was submitted - issue resolved."
22-005,2022-12-08 00:00:00,Customer Service,ASR,Bike Drive Train,"O21-13600-K1F3 ASR2011 SN2211086 - Vendor contacted us, said the pedals are moving but the chain is not. Determined the chain ring was no longer connected to crank arm and spinning freely.                                                          O22-17485-Q3F1 order submitted for replacement crank."
22-006,2022-12-08 00:00:00,Customer Service,ASR,Bike Drive Train,O22-16738-G3V4 - ASR2011 shipped late September and chain broke when out for a ride. O22-17666-D8S9 order was submitted for replacement chain and chain brake tool. Images attached to email.
22-007,2022-12-08 00:00:00,Customer Service,ASR,Bike Steering,"O22-17020-F4X5   Order included a t-bar kit, only the tbar itself was shipped. Customer and ourselves did not realize the error until the tech drove out to the school to make the install, and found he needed more parts. "
22-008,2022-12-08 00:00:00,Customer Service,,Bike Accessories,"O22-16769-Y9R8 - Motion Ottawa reported trainer not with bike when received. To be fair, the bike was delivered Octover 17th and only reported missing Nov 30th, it is possible was delivered but lost at destination. Serial number photos don’t indicate the trainer shipping with the bike, we have no proof either way.     O22-17700 - Sent no charge replacement. "
22-009,2022-12-08 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"O22-17609-N9K3  - Flat packed rocker base shipped to customer, she phoned because a few of the threaded insert in the cross bars was poose and pulling out. Washers sent with kit were also the incorrect size and too small to fit over the threaded rods. Customer had installed handle and says was unable to remove. O22-17718-F6K4 - replacement order for parts.  "
22-010,2022-12-08 00:00:00,Customer Service,,Bike Steering,"Rear steer kit was sent out to customer on O22-17598-Q2Z7, arrived with package damaged and rear steer tab paint damage (images in email). Customer requested replacement part, sent on O22-17734-C7H7. "
22-011,2022-12-08 00:00:00,Customer Service,ET2611,Bike Drive Train,"Customer reported chain has come off ET2611, sent photos and confirmed. Appears tensioner may have failed as it is pitched upwards past frame, ET2611 chain tension and length service bulletin likely apply. O22-17768 created w/ replacement parts. A local shop ""bikeworkz"" was able to make the repairs. According to them, the inside sprocket was not attached and the clip had some loose. "
22-012,2022-12-08 00:00:00,Production,Chill-Out Chair,COC Foam,Foam order came in - Mak noticed two ottomans do not fit the FCI size template. Also noticed that there is a seam between the ottoman. Looks like two pieces were cut and glued together
22-013,2022-12-08 00:00:00,Customer Service,AS,Bike Accessories,"Order was placed for a sun shade canopy, two errors have occured. #1 - the AS2600 did not have an headrest extension required for the sunshade, no quoted not ordered.  #2 - the sunshade was billed and shipped, along with a headrest extension but no harware, thumbwheels etc were sent. Unknown how we knew to ship a headrest with the order, but not sent as a kit and never billed on an order.  Replacement order O22-17774-S5M4"
22-014,2022-12-09 00:00:00,Shipping,Chill-Out Chair,COC Accessories,Picked up alluminum slider for rocker roller tilt base and it split in half like butter. Dec 13 Dirk is taking broken piece back to NJI
22-015,2022-12-12 00:00:00,Production,DCP,Bike Steering,"DCP tierod threads damaged, front end; threads painted rear end"
22-016,2022-12-13 00:00:00,Production,DCP,Bike Steering,DCP tierod improper taping for paint; threads painted on front end; could not clean
22-017,2022-12-14 00:00:00,Customer Service,,Bike Accessories,"Customer phoned wanting to know why they had yet to recieve the decal. There was a parts order submitted for a nameplate and decal, on the order there are no notes indicating what name is supposed to be on the decal. Somehow Sarah did get the decal printed and was picked up when ready. When I spoke with Elaine, she was not aware of what decal was supposed to be on the order, no notes on order, and theirfore the order had not moved forward even though the decal had been recieved the prev week."
22-018,2022-12-16 00:00:00,Customer Service,,Bike Drive Train,"Order was placed by Numotion for a hub kit to add to an AS2000. The hub kit was sent out only having one chain ring installed, hub had not been modified to work. Replacement order O22-17733 was sent."
22-019,2022-12-16 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"COC not shipped with ottoman support kit or pushbar, pushbar was never installed on chair was shipped un-noticed. Replacement sent on O22-17805     No SN photos to verify"
22-020,2022-12-16 00:00:00,Customer Service,DCP,Bike Accessories,"DCP12 shippeg with out pig horn.   Does not sound like a big issue however in this instance mom was very upset. Mom was worried the pig horn would not come with the bike, so Tom pulled one and saved it at his desk to make sure we did not run out and could keep our word. In the end the bike shipped with out the pig or any horn. Replacement order O22-17811-S7T0.    No SN photos to verify. "
22-021,2022-12-16 00:00:00,Customer Service,DCP,Bike Drive Train,"Order for replacement hub sent out with one chain ring, was not modified before shipping. The hub was also sent out as a hub only, not a kit. A hub kit which has been modified is needed for this to work on the bike. Incorrect part was ordered, and unmodified part shipped. New order O22-17890"
22-022,2022-12-16 00:00:00,Production,Chill-Out Chair,COC Accessories,"Rusty notified me of a XLW chair part tube (3440550) was not circular, the tube that was used to create this seems to be oval/squished, which led to the chrome tubve to not slide in and out. Rusty pulled 6 other parts with the same issue. There was a custom chair that was returned that had an XLW chair, and will be using those parts for this order. Fab has been notified of the issue, and a path forward to fix what is on the shelf has been implemented."
22-023,2022-12-16 00:00:00,Customer Service,AS,Bike Seating,"A local bike in Winnipeg reported to have a failed seat frame, top weld / material fail. Quoted repair. "
22-024,2022-12-19 00:00:00,Shipping,DCP,Bike Brakes,Many DCP brake Levers are not being bent to allow space to pull the lever and push lock pin.
22-025,2022-12-19 00:00:00,Production,DCP,Bike Steering,"DCP tierod threads damaged, front end. Cleaned with thread chaser"
22-026,2022-12-19 00:00:00,Production,DCP,Bike Steering,"DCP tierod threads damaged, front end. Cleaned with disc sander"
22-027,2022-12-20 00:00:00,Production,,Bike Steering,Rear Steer handle damaged threads. Fixed with disc sander
22-028,2022-12-20 00:00:00,Production,DCP,Bike Steering,"DCP tierod threads damaged, rear end. Cleaned with disc sander"
22-029,2022-12-22 00:00:00,Customer Service,DCP,Bike Seating,Customer reported top weld on seatframe has failed. Replacement part on O22-17888
22-030,2022-12-22 00:00:00,Customer Service,,,"two weeks to produce shipping docs for Customer requested return freight shipping docs on Dec 1st, advised by Chantal she didnt have time to complete until tomorrow. Customer called back again Dec 15th saying he still has not recieved return shipping docs, Chantal was able to get docs emailed over in under an hour. "
22-031,2022-12-22 00:00:00,Customer Service,,,"Customer had a physically damaged twist shifter, order O22-17253 was submitted w/ a note ""Only send twist shifter with cable. No hub req.""   Customer phoned after installing the new hub we incorectly sent, asking how to fix the shifter, he said a hub kit was sent with everything except the twist shift. We DID NOT send a shifter, instead of ONLY sending a shifter. Replacement parts order O22-17847 submitted."
23-001,2023-01-03 00:00:00,Customer Service,DCP,Bike Drive Train,"Numotion reported a bent crank chain ring on delivery, not noticed or signed for. Sent replacement part on O23-17917"
23-002,2023-01-04 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,Customer reports the center buckle for their chest harness has failed and no longer holding. Chest harness is custom ordered. Repalcemtn part on O23-17959.
23-003,2023-01-04 00:00:00,Production,DCP,Bike Steering,DCP tierod threads damaged. Cleaned with thread chaser.
23-004,2023-01-05 00:00:00,Production,DCP,Bike Steering,DCP tierod threads damaged. Had to tap using ball joint and lubricate.
23-005,2023-01-11 00:00:00,Shipping,Chill-Out Chair,COC Foam,"7 large ottomans dont meet the height, length, width requirments. 6 dont meet the height/length requirments and 1 does not meet the Width Requirment. "
23-006,2023-01-12 00:00:00,Production,AS,Bike Steering,AS tierod threads messed. Was able to clean with hand file.
23-007,2023-01-13 00:00:00,Production,DCP,Bike Steering,DCP tierod threads damaged. Cleaned with hand file.
23-008,2023-01-13 00:00:00,Production,DCP,Bike Steering,DCP tierod threads covered in paint. Tapped with jam nut.
23-009,2023-01-16 00:00:00,Production,Multiple,Bike Seating,"Some bikes, Quick releases are not being tightend. Was able to freely move seat while quick releases are closed. "
23-010,2023-01-23 00:00:00,Customer Service,DCP,Bike Drive Train,"DCPmini - new delivery and needed to remove crank shorteners to brink kids feet more inwards. Was able to remove one side of the shortener with no problem, the other side crank arm shortener bolt got stuck half way while removing. Customer had husband holding bike while she tried to remove, it was stuck. Customer took bike to a bike shop who was able to remove the bolt however says that a lot of threads came out with the bolt and the crank arm was damaged. Replacement parts order O23-18001"
23-011,2023-01-18 00:00:00,Production,ASR,Bike Steering,Flash marks on welded cables creating rough spots and frays. Poked myself but didn't bleed.
23-012,2023-01-18 00:00:00,Production,ET,Bike Steering,Flash marks on welded cables creating rough spots and frays.
23-013,2023-01-18 00:00:00,Production,DCP,Bike Drive Train,Flash spots on bottom bracket shells caused thread stripping on cartridges. Scrapped 2 cartridges. Tapped threads and saved the bb shells.
23-014,2023-01-19 00:00:00,Sales,Multiple,,Instructions for customization in manufacturing notes on custom order didn't match footnotes or CAT3 quote. Customizations in production followed manufacturing notes. 
23-015,2023-01-24 00:00:00,Production,,Bike Seating,Lateral Track binding. Needs oiling then cleaning. Makes me angry.
23-016,2023-01-24 00:00:00,fabrication,ASR,Bike Frame,headtubed on angle front of bike crooked
23-017,2023-01-24 00:00:00,Production,ET,Multiple,"Demo requiring custom components didn't make it through engineering, custom components not designed/fabricated by point of assembly. Unique case because custom order didn't use CAT 3 process (no quote was needed)"
23-018,2023-01-25 00:00:00,Production,ET,Bike Steering,Flash marks and frays on welded cables for ET.
23-019,2023-01-04 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"Parts order for a replacement COC cover and pelvic belt. Even though both parts were on one parts order, the COC cover was shipped out with no slits cut into the fabric for the pelvic belt straps. "
23-020,2023-01-09 00:00:00,Customer Service,DCP,Bike Accessories,"Rear steer kit was shipped out for DCP16 preassembeled w/ grip and brake lever installed. The customer never intended to have a brake on the rear steer handle, and the brake lever is not included in the kit however was installed and shipped with one. Customer ended up purchaing a brake splitter kit to make work. "
23-021,2023-01-10 00:00:00,Customer Service,AS2000,Bike Accessories,"Customer needed assistance installing stationary trainer on AS2000, I was able to assist via facetime. When installing the bracket to the drive wheel, there was no way to install with the anti tipping kit installed. I spoke with Iain and determined that they will need to remove the anti tip from one side of the bike, and advise the other side should be adequate. Customer was unsure about the fix but went ahead. "
23-022,2023-01-13 00:00:00,Customer Service,DCP,Bike Accessories,"LH lateral would not lock into place. Customer sent video showing the RH latching with out issue, RH failing. Sent replacement parts order on O23-17994"
23-023,2023-01-12 00:00:00,Customer Service,DCP,Bike Accessories,"Incorrect length wedge bolt shipped on O22-17877, customers email says was for a AS2000, parts order says it was for a DCP16. The incorrect part was ordered, replacement parts order O23-17991"
23-024,2023-01-13 00:00:00,Customer Service,DCP,Bike Drive Train,"Customer sent video showing rear wheel wobbling, likely a bent axle. Unknown cause but under warranty. Sent replacement on O23-17995 dcp12"
23-025,2023-01-24 00:00:00,Customer Service,DCP,Bike Brakes,"On a parts order for a brake splitter kit, Declan advised that we have to steal a bolt from a caliper kit as we do not stock the bolts where we drill the hole for the cables. We should have a small stock of these bolts so we dont end up with multipul incomplete caliper kits. "
23-026,2023-01-26 00:00:00,assembly,EHDO,Bike Frame,Missing spring tab on frame
23-027,2023-01-30 00:00:00,Customer Service,,,"DCP16 at Greenway School in Winnipeg reported a broken seat frame, video attached. Replacement frame on O23-18097. SN unknown at this time. "
23-028,2023-01-30 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,Lost belvic belt for demo SN RL219L072. Submitted an order for a replacement on O23-18070 as per Evan.
23-029,2023-01-30 00:00:00,Customer Service,ASR,Bike Steering,"NSM took a new ASR2011 to a home to be delivered. Called because the front wheel was moving independly from the steering handle bars. Facetime diag, had him pull back the rubber boot and could see the u-joint turning with the bars, but not the front work. Determined that the lower head tube wedge bolt going into the front work was not tight.  I created a set of instructions for the tech to repair, NSM picked up the bike and will complete repaires at their shop.   *** Bike went through our QA, transportation, unloading, being loaded into NSM delivery van, & off loaded and into the customers home with no issues, steering only let up after all of these delivery steps."
23-030,2023-01-31 00:00:00,Engineering,Multiple,Bike Drive Train,"Item 5012048, crank shortener bolts, are extremely difficult to install in crank threads.  There are 56 sets of bolts in stock.  Comparison to standard pedal thread OD indicates that the OD on the drawing should be reduced for a better fit.  An ECR will take care of the required drawing changes but a plan for the existing stock is required,  A 9/16-20 RH thread cutting die from Mcmaster Carr is $100,  the LH die would be very difficult to find and likely very expensive.  Cost per pair - $13  "
23-031,2023-01-31 00:00:00,Production,ASR,,"Order featured two different kinds of wheels kits. Greg prepped pneumatic, not needing to look at tire type as a result. Clarification revealed it was supposed to be solid tire.No tire type was listed on order."
